Cliente_Cod,Producto_Cod,Min,Max
CMAX00230,TIQ1425,2.5,10.0
CWAL00160,TIQ1425,2.5,10.0
CMXM00410,TIQ1425,2.5,10.0
CMAX00450,TIQ1425,0.0,13.499999999999996
CWAL00070,TIQ1425,2.5,18.62499999999997
CRES00011,TIQ0320,2.0,6.199999999999996
CRES00002,TIQ2371,1.0,1.0
CRES00002,TIQ0300,2.0,6.0
CRES00010,TIQ0320,6.4,13.6
CGEN00068,TIQ2371,0.975,10.6875
CGEN00068,TIQ0320,1.0,60.0
CRES00063,TIQ0320,5.6,5.6
CRES00063,TIQ0100,2.6,3.4
CGEN00023,TIQ0200,2.0,4.0
CGEN00023,TIQ0705,1.0,2.0
CGEN00024,TIQ0200,4.1000000000000005,16.0
CGEN00024,TIQ0705,3.0,6.0
CPAN00035,TIQ1371,3.5500000000000003,7.0
CPAN00035,TIQ0200,1.6,4.0
CPAN00035,TIQ0703,3.6,24.0
CPAN00048,TIQ1380,3.0,50.0
CRES00003,TIQ0300,1.0,4.0
CGEN00022,TIQ0200,2.0,5.049999999999997
CGEN00022,TIQ0705,1.0,3.0
CGEN00025,TIQ0200,2.0,5.0
CGEN00025,TIQ0705,1.0,2.0
CPAN00047,TIQ1380,4.85,20.0
CPAN00048,TIQ2241,1.0,1.0
CPAN00048,TIQ0320,4.0,12.799999999999997
CPAN00048,TIQ0705,3.0,6.0
CGEN00003,AMS0971,2.0,5.839999999999997
CGEN00003,TIQ1271,3.0,3.0
CGEN00003,TIQ0100,3.91,14.825
CGEN00003,TIQ0200,9.0,23.5
CGEN00003,TIQ0705,5.0,15.0
CMAX00230,TIQ1430,3.0,10.0
CWAL00160,TIQ1430,3.0,40.0
CMAX00060,TIQ1430,3.0,28.999999999999915
CMAX00290,TIQ1430,3.0,20.0
CWAL00070,TIQ1430,3.0,50.0
CWAL00090,TIQ1430,3.0,40.0
CWAL00050,TIQ1430,3.0,60.0
CPER00015,TIQ0650,1.0,4.0
CPER00015,TIQ0300,2.1854999999999998,3.9044999999999996
CWAL00050,AMS0912,12.8835,14.28
CWAL00160,TIQ2303,3.0,12.209999999999997
CWAL00090,TIQ2303,3.0,20.0
CMXM00290,TIQ2303,3.0,27.5
CMXM00060,TIQ2303,3.0,10.0
CPER00015,TIQ0105,1.0,1.9699999999999995
CWAL00150,TIQ1130,1.5,27.0
CWAL00080,TIQ1130,0.9,8.0
CWAL00160,TIQ1130,1.305,13.0
CWAL00070,TIQ1130,1.2,17.0
CWAL00090,TIQ1130,2.37,20.0
CMXM00040,TIQ1130,1.2,11.399999999999991
CWAL00050,TIQ1130,1.5,20.0
CMXM00060,TIQ1130,0.3,4.299999999999997
CPER00015,TIQ0250,1.0,4.0
CMXM00060,TIQ0325,2.5,2.5
CWAL00090,TIQ0310,2.0,21.0
CMAX00230,TIQ0303,3.0,20.0
CWAL00150,TIQ0303,6.0,50.0
CMXM00260,TIQ0303,3.0,10.0
CMXM00380,TIQ0303,3.0,20.0
CWAL00160,TIQ0303,3.0,30.0
CMAX00060,TIQ0303,3.0,30.0
CMAX00290,TIQ0303,3.0,30.0
CMAX00450,TIQ0303,3.0,25.49999999999997
CWAL00090,TIQ0303,6.0,90.0
CMAX00240,TIQ0303,3.0,40.0
CMAX00280,TIQ0303,3.0,20.0
CMXM00040,TIQ0303,3.0,22.00000000000003
CMXM00060,TIQ0303,3.0,10.0
CWAL00150,TIQ0352,2.5,7.5
CMXM00380,TIQ0352,2.5,5.0
CWAL00090,TIQ0352,2.5,7.5
CMXM00040,TIQ0352,2.5,2.5
CWAL00050,TIQ0352,2.5,10.0
CMAX00230,TIQ0403,3.0,10.0
CWAL00150,TIQ0403,3.0,40.0
CMXM00380,TIQ0403,3.0,20.0
CMAX00060,TIQ0403,3.0,10.0
CMAX00120,TIQ0403,2.6000000000000005,10.0
CWAL00090,TIQ0403,3.0,40.0
CMXM00040,TIQ0403,3.0,10.0
CGEN00068,TIQ0303,0.3,10.0
CMAX00230,TIQ0150,5.0,30.0
CMAX00290,TIQ0150,5.0,40.0
CMAX00450,TIQ0150,5.0,30.0
CWAL00090,TIQ0150,5.0,70.0
CMAX00240,TIQ0150,5.0,30.0
CWAL00050,TIQ0150,10.0,87.5
CMXM00060,TIQ0150,5.0,20.0
CPQM0001,REA1505,5.0,20.49999999999997
CMAX00230,TIQ0103,1.5,10.0
CMXM00310,TIQ0103,1.5,20.0
CWAL00080,TIQ0103,1.5,10.099999999999994
CMAX00060,TIQ0103,1.5,30.0
CMAX00290,TIQ0103,1.5,20.0
CMAX00120,TIQ0103,1.5,10.0
CWAL00090,TIQ0103,1.5,20.0
CMAX00240,TIQ0103,1.5,15.0
CWAL00050,TIQ0103,1.5,25.0
CMXM00290,TIQ0103,1.5,35.0
CMXM00060,TIQ0103,1.5,10.0
CGEN00068,TIQ1271,0.5,50.0
CMXM00380,TIQ0225,2.5,10.0
CMXM00040,TIQ0225,2.5,6.124999999999998
CMXM00060,TIQ0225,2.5,7.249999999999992
CPAN00020,TIQ1271,10.0,30.0
CPAN00054,TIQ1271,2.0,6.0
CMAX00230,TIQ0250,5.0,40.0
CWAL00080,TIQ0250,5.0,81.25
CMXM00410,TIQ0250,5.0,60.0
CMAX00060,TIQ0250,5.0,10.0
CMAX00290,TIQ0250,5.0,50.0
CWAL00090,TIQ0250,10.0,130.0
CMAX00240,TIQ0250,5.0,40.0
CMAX00280,TIQ0250,5.0,11.999999999999993
CMXM00040,TIQ0250,0.20000000000000284,30.0
CWAL00050,TIQ0250,25.0,250.0
CAUT00009,TIQ2371,10.0,30.0
CAUT00021,TIQ2371,10.0,20.0
CPQM0001,REA0250,10.0,100.0
CPER00015,TIQ1130,1.2,6.0
CVIN00005,TIQ2371,4.0,15.0
CVIN00013,TIQ2371,4.0,14.849999999999987
CVIN00017,TIQ2371,3.0,10.0
CVIN00018,TIQ2371,5.0,15.0
CGEN00004,TIQ0300,1.84,18.459999999999997
CGEN00068,TIQ0300,1.0,90.875425
CMAX00230,TIQ1750,0.5,13.099999999999998
CWAL00150,TIQ1750,2.9000000000000004,55.59999999999991
CWAL00160,TIQ1750,2.05,27.30000000000001
CMXM00410,TIQ1750,1.5,16.625
CMAX00290,TIQ1750,0.5,6.700000000000003
CMAX00450,TIQ1750,1.0,10.25
CWAL00070,TIQ1750,2.8000000000000007,37.99999999999997
CWAL00090,TIQ1750,3.0,35.099999999999966
CMAX00240,TIQ1750,1.0,11.399999999999977
CMXM00040,TIQ1750,0.5,10.0
CWAL00050,TIQ1750,3.0,82.62499999999996
CMXM00060,TIQ1750,0.5,8.75
CRES00017,TIQ0320,6.0,13.899999999999991
CPQM0001,REA0350,2.0,15.0
CWAL00092,AMS0912,2.11,3.19
CWAL00001,AMS0912,21.0,21.0
CMAX00232,AMS0912,25.25,29.75
CWAL00152,TIQ1750,21.6,21.6
CMAX00230,TIQ0525,2.5,10.0
CWAL00150,TIQ0525,2.5,20.0
CMXM00380,TIQ0525,2.5,10.0
CMAX00290,TIQ0525,2.5,10.0
CMAX00120,TIQ0525,2.5,10.0
CMAX00450,TIQ0525,2.5,10.0
CWAL00090,TIQ0525,2.5,20.0
CMAX00280,TIQ0525,0.0,10.0
CMXM00040,TIQ0525,2.5,10.999999999999943
CWAL00080,TIQ2303,3.0,10.0
CWAL00152,TIQ2303,6.0,6.0
CMXM00262,TIQ2303,10.0,10.0
CMXM00053,TIQ2303,6.0,21.19999999999999
